0,6263
1,1702
2,2213
3,3481
4,4023
5,3458
6,2972
7,2579
8,2297
9,2165
10,1911
11,1460
12,1180
13,993
14,844
15,666
16,598
17,519
18,522
19,438
20,387
21,310
22,239
23,191
24,168
25,206
26,95
27,69
28,29
29,18
30,11
31,5
32,8
33,8
34,1
35,2
36,1
53,1
